GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE
KPN,NL001,N0,2024-03-21,2024-04-08,19,
KPN,NL004,N0,2024-03-21,2024-04-08,19,
KPN,NL001,N0,2024-04-22,2024-05-06,15,
KPN,NL004,N0,2024-04-22,2024-05-06,15,
KPN,NL001,N0,2024-05-22,2024-06-06,16,
KPN,NL004,N0,2024-05-22,2024-06-06,16,
KPN,NL001,N0,2024-06-20,2024-07-08,19,
KPN,NL004,N0,2024-06-20,2024-07-08,19,
KPN,NL001,N0,2024-07-22,2024-08-08,18,
KPN,NL004,N0,2024-07-22,2024-08-08,18,
KPN,NL001,N0,2024-08-22,2024-09-06,16,
KPN,NL004,N0,2024-08-22,2024-09-06,16,
KPN,NL001,N0,2024-10-22,2024-11-07,17,
KPN,NL004,N0,2024-10-22,2024-11-07,17,
KPN,NL001,N0,2024-11-21,2024-12-06,16,
KPN,NL004,N0,2024-11-21,2024-12-06,16,
KPN,NL001,N0,2024-12-20,,,
KPN,NL004,N0,2024-12-20,,,
KPN,NL001,N0,2024-09-20,2024-10-08,19,
KPN,NL004,N0,2024-09-20,2024-10-08,19,
ING,ES001,E1,2024-11-28,2024-12-16,18,
ING,ES001,E1,2024-12-30,,,
ING,NL001,N0,2024-10-21,2024-11-13,24,
ING,NL001,N0,2024-11-20,2024-12-12,23,
ING,NL001,N0,2024-12-19,,,
ING,NL001,N0,2024-03-20,2024-04-12,24,
ING,NL001,N0,2024-04-19,2024-05-13,25,
ING,NL001,N0,2024-05-21,2024-06-12,23,
ING,NL001,N0,2024-06-19,2024-07-12,24,
ING,NL001,N0,2024-07-19,2024-08-14,27,
ING,NL001,N0,2024-08-21,2024-09-12,23,
ING,NL001,N0,2024-09-19,2024-10-14,26,
ING,ES001,E1,2024-10-28,2024-11-15,18,
ING,ES001,E1,2024-03-25,2024-04-16,23,
ING,ES001,E1,2024-08-29,2024-09-16,18,
ING,ES001,E1,2024-04-29,2024-05-14,15,
ING,ES001,E1,2024-05-28,2024-06-17,20,
ING,ES001,E1,2024-07-29,2024-08-16,18,
ING,ES001,E1,2024-06-28,2024-07-15,17,
ING,ES001,E1,2024-09-27,2024-10-15,18,
